Graph Name: CollegeMsg.txt
Motif Name: M-6-1.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.14353    253784
0.105532    32
0.088191    33
0.0799851    38
0.080229    29
0.082438    29
0.0805211    32
0.121334    33
0.10259    28
0.0805459    20
0.0851378    24
0.0806658    23
0.080946    20
0.111916    22
0.186473    27
0.104919    41
0.0963581    22
0.081213    30
0.082437    30
0.0815182    37
0.081562    35
0.099129    20
0.109027    41
0.0928121    30
0.091392    37
0.0818312    33
0.0911    26
0.0838051    32
0.0809729    31
0.0800891    34
0.103683    33
0.105462    44
0.116342    38
0.081131    23
0.081176    19
0.125008    27
0.117146    28
0.10998    22
0.0796418    30
0.08025    24
0.113521    35
0.0863819    37
0.106215    18
0.081337    36
0.0792701    35
0.093051    26
0.0921681    15
0.0817151    43
0.0798709    30
0.183421    27
0.0997622    19
0.084516    25
0.079586    19
0.0925319    34
0.100526    32
0.0796731    32
0.115611    24
0.090373    27
0.0944681    35
0.0914481    51
0.0825179    29
0.121685    36
0.103732    43
0.0944939    30
0.090374    33
0.109779    58
0.0818911    35
0.0804541    32
0.094162    27
0.112463    27
0.107297    31
0.0969052    31
0.0790591    34
0.0812068    19
0.088582    38
0.0829611    34
0.1128    22
0.10688    30
0.102408    39
0.109292    39
0.080487    24
0.0997388    24
0.0870488    15
0.0816031    29
0.081558    28
0.0797942    19
0.0792959    18
0.093576    31
0.0862398    20
0.0801299    26
0.184395    32
0.101041    34
0.103569    25
0.0804169    32
0.0820432    22
0.0985749    26
0.102095    36
0.11544    34
0.0970731    40
0.0809951    27
0.108016    40
0.101385    24
0.122821    23
0.07989    37
0.079529    40
0.095804    32
0.12824    33
0.085953    24
0.080008    29
0.096833    48
0.079371    23
0.0806282    36
0.0812502    26
0.112991    37
0.0958281    31
0.100716    33
0.0803709    30
0.080729    39
0.100564    26
0.102558    36
0.116767    52
0.081795    23
0.0801539    23
0.111944    37
0.099581    18
0.110239    35
0.0798972    42
0.087625    29
0.100514    27
0.090642    21
0.0917189    45
0.146456    36
0.0941648    31
0.100873    27
0.0967441    26
0.093724    36
0.0919468    23
0.094254    28
