Graph Name: CollegeMsg.txt
Motif Name: M-4-6.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.129182    2218
0.0691311    8
0.114763    4
0.194129    2
0.121141    2
0.0834069    4
0.102314    3
0.08323    9
0.0981362    3
0.176146    7
0.139038    7
0.143582    3
0.117876    8
0.107688    5
0.092226    6
0.191593    7
0.0957041    8
0.110217    10
0.0827761    11
0.117019    9
0.0987091    8
0.115637    3
0.131363    8
0.184627    8
0.106687    11
0.10978    6
0.091783    6
0.121696    8
0.135529    6
0.101997    9
0.083868    5
0.0848241    5
0.155584    9
0.104879    7
0.13476    11
0.119201    10
0.107696    9
0.113829    6
0.123168    8
0.084693    5
0.0859411    10
0.0942361    5
0.102656    4
0.110166    10
0.0864999    5
0.084038    11
0.0848212    8
0.095031    6
0.100354    10
0.112547    7
0.118808    4
0.084358    5
0.0903978    5
0.097322    11
0.083437    3
0.149812    7
0.0829809    4
0.11284    11
0.112496    10
0.114724    3
0.092176    7
0.083566    4
0.118104    5
0.106639    8
0.104693    6
0.082659    14
0.084254    11
0.0895009    11
0.083745    5
0.121381    6
0.108008    7
0.094481    4
0.0824351    4
0.084995    5
0.120035    5
0.102305    11
0.106279    4
0.0847249    9
0.0817699    4
0.0831251    10
0.133719    5
0.120629    3
0.116996    6
0.0819509    8
0.0848892    12
0.101107    9
0.124355    7
0.110668    6
0.082288    5
0.0970862    6
0.082932    7
0.0834389    8
0.100421    9
0.081876    6
0.109915    6
0.107475    4
0.0930471    8
0.0835609    5
0.084851    5
0.0955489    11
0.0973699    4
0.102382    6
0.082885    10
0.0857031    7
0.0915918    6
0.110073    11
0.0966699    8
0.170537    6
0.104112    9
0.0935721    2
0.106596    3
0.0926418    3
0.0853648    9
0.0935969    3
0.119439    16
0.0971851    10
0.096282    6
0.082788    6
0.09267    6
0.106254    10
0.195757    6
0.0824001    5
0.095289    6
0.094986    3
0.082124    6
0.1057    5
0.109236    5
0.14314    9
0.113185    9
0.0820961    6
0.0902331    4
0.083765    8
0.0821638    6
0.094269    5
0.0823441    6
0.116597    5
0.0969942    9
0.100392    3
0.0838692    4
0.083493    8
0.0836809    11
0.116781    7
0.111894    1
0.0994971    8
0.0949872    12
0.0936098    2
0.0859091    2
0.0944161    10
0.121274    7
0.0934231    15
0.101781    5
0.0904989    6
0.0837278    8
0.097976    5
0.0829871    7
0.113083    8
0.107236    8
0.109357    5
0.0827959    15
0.082979    5
0.118504    7
0.178119    7
0.11311    6
0.0829201    3
0.08494    10
0.085058    10
0.0920389    10
0.106879    1
0.119453    6
0.125702    5
0.096849    10
0.101142    7
0.082391    10
0.0985789    7
0.100996    6
0.0933809    7
0.10765    8
0.0875509    4
0.0841711    9
0.0846858    9
0.0977039    10
0.108448    8
0.123664    6
0.0819399    8
0.099535    10
0.0967531    8
0.082715    6
0.093132    7
0.0839241    7
0.107571    11
0.111401    5
0.123198    7
0.0868418    8
0.0832689    11
0.0919361    7
0.0827661    12
0.083293    6
0.082288    4
0.10289    5
0.087328    2
0.0829339    7
0.0895598    17
0.0849102    9
0.106877    7
0.115924    11
0.107787    5
0.10673    6
0.082052    7
0.0850151    11
0.0855241    2
0.104933    8
0.110671    8
0.119314    14
0.0826299    7
0.110249    7
0.105561    8
0.107509    5
0.181725    6
0.108258    9
0.0838041    3
0.115909    10
0.102122    7
0.095485    10
0.0837972    7
0.117907    6
0.111685    4
0.120282    8
0.0830002    11
0.10762    9
0.1111    5
0.117653    5
0.0967059    3
0.08289    5
0.0918908    4
0.113191    7
0.11925    11
0.082689    6
0.115623    5
0.117788    7
0.108357    5
0.0832071    5
0.085922    7
0.106982    10
0.118115    8
0.10276    9
0.097115    7
0.0961189    5
0.105598    3
0.105819    9
0.118025    6
0.0950332    9
0.0828969    8
0.0823212    4
0.099921    11
0.0848799    6
0.083529    7
0.183052    4
0.0950341    6
0.085252    10
0.100162    15
0.08234    12
0.096586    5
0.099628    5
0.20163    7
0.103281    11
0.103644    3
0.108603    6
0.113169    7
0.0978069    3
0.082381    6
0.10555    13
0.107287    8
0.106975    11
0.0916202    8
0.0924721    3
0.101682    5
0.115126    5
0.0964301    7
0.098238    17
0.0948842    3
0.0937781    6
0.107213    2
0.190343    7
0.109022    11
0.102417    9
0.100632    6
0.106265    8
0.121322    5
0.0889931    5
0.113344    11
0.0825789    7
0.0853889    3
0.108221    6
0.105471    8
0.10392    12
0.08411    2
0.102354    4
0.111263    8
0.119045    9
0.107581    3
0.0919511    5
0.135552    7
0.103342    6
0.124493    19
0.111457    6
0.122261    6
0.108313    8
0.145211    13
0.0965738    3
0.118567    10
0.109452    2
0.11623    6
0.117494    6
0.190877    8
0.137501    10
0.102822    4
0.107263    9
0.0873981    6
0.0888321    7
0.084754    13
0.084312    7
0.085077    7
0.0821931    4
0.0965431    7
0.095376    7
0.0841432    5
0.0922461    3
0.124499    6
0.114925    4
0.124743    11
0.10498    7
0.12694    6
0.113145    8
0.0997739    7
0.110948    22
0.0848198    5
0.0876892    0
0.0866551    3
0.097553    11
0.146782    6
0.0947518    5
0.10891    11
0.093281    4
0.104111    6
0.088758    5
0.105122    8
0.082798    11
0.105842    5
0.119593    7
0.117355    6
0.111808    6
0.10328    10
0.115256    7
0.0868299    4
0.0911782    7
0.0824988    5
0.0980351    3
0.115711    8
0.103493    8
0.0838552    5
0.0835059    9
0.111961    7
0.0987949    4
0.118517    9
0.0828669    9
0.190875    5
0.112599    8
0.106454    6
0.0862298    10
0.108264    9
