Graph Name: CollegeMsg.txt
Motif Name: M-2-3.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.08411    2163
0.0799119    6
0.0903521    7
0.080565    11
0.0792389    3
0.102761    9
0.0969481    4
0.103029    9
0.104916    10
0.10773    4
0.091795    2
0.0803761    7
0.102664    7
0.0781689    7
0.108035    11
0.0975299    8
0.105221    6
0.107224    8
0.086473    9
0.078665    4
0.0809648    12
0.077112    8
0.084878    4
0.0989749    3
0.0993581    13
0.105198    8
0.103837    7
0.099416    9
0.103458    9
0.110332    7
0.0968361    20
0.082098    5
0.095015    7
0.0687819    12
0.0738909    11
0.104761    12
0.103307    7
0.09796    6
0.105962    11
0.109449    6
0.101835    7
0.078907    12
0.0914128    4
0.091579    4
0.097121    8
0.102141    7
0.119352    10
0.088623    5
0.078418    9
0.0794699    6
0.078923    4
0.080595    3
0.0810082    8
0.078784    4
0.116643    3
0.093348    3
0.0983231    7
0.106967    5
0.0799642    8
0.0790672    8
0.0911591    6
0.0943911    11
0.0906491    5
0.0852439    2
0.0913019    8
0.110649    6
0.0887458    6
0.0990758    7
0.0896351    5
0.098208    5
0.0937831    7
0.0790009    9
0.080054    4
0.0800118    8
0.078572    9
0.0735779    2
0.078573    2
0.084564    16
0.0800009    8
0.079108    8
0.089432    8
0.083524    7
0.09216    6
0.0710309    6
0.06145    5
0.0787921    7
0.0824552    6
0.0786459    6
0.092268    7
0.104841    9
0.135343    4
0.098032    12
0.09482    2
0.095397    6
0.0786901    9
0.0791421    2
0.0863008    3
0.0789859    7
0.0671809    4
0.0770741    7
0.0791059    6
0.0774221    7
0.0798042    9
0.080301    3
0.0858951    5
0.094099    7
0.0881891    10
0.067296    9
0.0787539    11
0.0808151    5
0.0786481    6
0.078465    10
0.0900431    8
0.078217    9
0.067553    3
0.0894911    8
0.078933    8
0.0832808    12
0.092103    11
0.0999298    13
0.10722    8
0.098732    6
0.110162    4
0.0923719    5
0.084466    15
0.089623    9
0.0782201    4
0.0790529    11
0.0945609    6
0.0938232    2
0.101473    7
0.0794969    8
0.079433    7
0.105123    7
0.0832582    5
0.101687    8
0.098444    6
0.097122    4
0.094521    3
0.0783141    4
0.0992031    6
0.079288    10
0.078496    7
0.0981579    5
0.0933411    9
0.0957599    3
0.0798519    7
0.0796869    9
0.098304    6
0.105054    7
0.115006    9
0.0714121    8
0.0869079    7
0.117721    4
0.10696    7
0.110567    4
0.138613    7
0.094883    8
0.100716    9
0.0972528    2
0.079469    8
0.0844469    14
0.103236    7
0.101041    8
0.102787    8
0.10423    11
0.104869    5
0.0981011    10
0.0788739    9
0.0939209    9
0.083607    5
0.0555911    8
0.0794961    5
0.0802679    3
0.0972822    4
0.0874941    2
0.0890422    5
0.068006    11
0.0783029    8
0.110885    4
0.0781782    11
0.100641    7
0.113455    6
0.0938311    5
0.104766    9
0.0969429    8
0.091423    7
0.079283    10
0.104824    7
0.0800419    7
0.0789251    10
0.108515    10
0.0790639    9
0.0752909    4
0.0956349    13
0.105622    1
0.112628    5
0.0936699    7
0.0870509    5
0.110003    8
0.0789042    8
0.107102    8
0.099694    5
0.101807    6
0.081389    10
0.078862    6
0.080122    3
0.0441129    5
0.113958    3
0.0961549    8
0.112765    7
0.103829    7
0.093451    1
0.103966    5
0.0788879    6
0.099267    6
0.0790219    8
0.080312    10
0.102505    10
0.100088    7
0.0811379    6
0.0905581    6
0.078896    5
0.089375    6
0.0905259    11
0.0857918    4
0.0788119    5
0.0752721    5
0.100033    6
0.0992351    7
0.122198    7
0.078321    4
0.0785818    9
0.099839    5
0.103173    3
0.10092    10
0.0607111    4
0.078825    8
0.080097    10
0.0792789    4
0.079231    4
0.081188    7
0.078902    10
0.0618062    8
0.0920739    10
