Graph Name: CollegeMsg.txt
Motif Name: M-6-2.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.094758    143399
0.170769    19
0.101819    21
0.106448    18
0.0993462    22
0.0921481    25
0.104063    16
0.0808098    20
0.081774    23
0.0817661    24
0.0803578    19
0.0805299    21
0.082267    17
0.0793998    35
0.0797031    15
0.120416    32
0.0833721    17
0.0958841    27
0.104442    23
0.111087    13
0.112156    18
0.0796161    12
0.0812631    36
0.0825288    25
0.095191    20
0.103234    25
0.107848    15
0.0983589    11
0.122387    25
0.103503    22
0.081429    36
0.081372    23
0.0994749    16
0.088572    11
0.080385    13
0.164275    19
0.103568    20
0.088721    21
0.109154    16
0.080477    21
0.0848589    15
0.081867    26
0.118624    25
0.103744    23
0.0985069    22
0.108132    17
0.080621    23
0.0928769    32
0.10132    22
0.108474    20
0.091048    18
0.082459    19
0.0930901    23
0.105079    27
0.096128    28
0.115312    12
0.0966079    24
0.114055    18
0.0799189    23
0.0809498    23
0.096808    21
0.0950511    25
0.111728    13
0.093595    18
0.106    27
0.0805731    35
0.083333    16
0.0809269    21
0.0825329    17
0.0811989    19
0.166504    19
0.096276    23
0.104703    20
0.0865209    16
0.0802991    12
0.0810001    40
0.098469    13
0.187136    23
0.10797    19
0.0949228    15
0.0965469    28
0.09044    25
0.107517    15
0.136139    31
0.111614    20
0.0819051    27
0.095588    7
0.093713    26
0.105869    21
0.111633    14
0.11548    18
0.112542    24
0.116617    24
0.080353    24
0.0921578    22
0.105661    15
0.202224    21
0.083817    14
0.0934429    22
0.0847049    31
0.0807672    28
0.0885859    17
0.107267    22
0.116584    32
0.0940959    27
0.098799    18
0.100363    18
0.0798092    19
0.0793791    36
0.080277    27
0.125841    13
0.103944    10
0.107897    17
0.0874619    26
0.080905    14
0.119436    18
0.104093    21
0.112069    36
0.102797    17
0.0954571    18
0.108363    33
0.104944    13
0.17658    12
0.0902991    26
0.079582    23
0.100277    18
0.100031    25
0.101354    37
0.0905871    23
0.106121    15
0.107746    19
0.100698    28
0.107817    17
0.097245    13
0.0923159    18
0.113288    18
0.113484    22
0.107733    34
0.0804591    18
0.0875251    23
0.102328    21
0.196365    21
0.0923438    19
0.09677    27
0.100425    23
0.118077    16
0.0821509    23
0.0806811    15
0.116375    19
0.101547    21
0.109648    29
0.0927799    21
0.087909    13
0.101441    23
0.185594    18
0.0854819    20
0.0810831    21
0.105515    24
0.0982339    20
0.0966971    15
0.0879979    21
0.121272    9
0.102928    15
0.113625    24
0.102905    26
0.10835    22
0.097393    24
0.117088    22
0.11479    25
0.10805    27
0.093713    10
0.079962    26
0.107677    11
0.193121    18
0.102211    22
0.0906641    34
0.096339    26
0.103098    22
0.107467    17
0.179062    22
0.128977    27
0.079138    19
0.096231    22
0.101057    26
0.106313    20
0.093792    23
0.124408    22
0.10004    13
0.0811999    18
0.17927    11
0.0950842    25
0.118051    14
0.0899911    21
0.072468    26
0.102947    12
0.103761    28
0.111319    25
0.112223    29
0.108996    23
0.106271    27
0.107169    20
0.079535    19
0.0852139    30
0.07881    23
0.0803449    28
0.0976028    16
0.0987401    22
0.11192    22
0.109519    13
0.122981    17
0.110477    26
0.128447    29
0.108343    20
0.129447    38
0.110998    22
0.161301    32
0.091481    16
0.107991    29
0.113667    18
0.144735    30
0.079597    31
0.107123    17
0.098177    18
0.0848429    29
0.0810728    25
0.0824261    17
0.080375    29
0.0812271    34
0.0839269    18
0.079453    24
0.0870311    20
0.088779    23
0.0790789    21
0.0873389    26
0.0978038    18
0.064642    16
0.081104    21
0.110221    17
0.0969279    25
0.108437    20
0.0793588    17
0.0789859    15
0.141247    23
