Graph Name: CollegeMsg.txt
Motif Name: M-5-1.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.107545    157548
0.100313    29
0.0826249    22
0.153339    20
0.105441    24
0.110259    17
0.109867    36
0.101316    12
0.105122    18
0.0826051    21
0.11784    18
0.095623    25
0.083127    28
0.083848    26
0.0832639    32
0.0835471    20
0.101086    20
0.193065    23
0.092257    19
0.0964    19
0.0938809    17
0.115692    21
0.103896    26
0.194876    10
0.10173    24
0.0823479    20
0.0826981    19
0.112535    17
0.110208    27
0.0963111    21
0.10332    15
0.105027    22
0.119537    24
0.0836401    27
0.0838809    29
0.098531    13
0.192679    29
0.11749    23
0.109934    16
0.0839739    13
0.129769    15
0.116973    23
0.104723    24
0.105393    15
0.0931718    23
0.112734    13
0.11636    22
0.120698    12
0.118295    16
0.0961361    27
0.101691    17
0.101982    26
0.105105    29
0.106449    25
0.0834689    19
0.111422    10
0.104769    30
0.113502    18
0.082968    22
0.0822952    18
0.095072    30
0.082207    6
0.111534    16
0.100026    21
0.129513    17
0.0819099    11
0.0822229    23
0.11081    29
0.103817    17
0.085211    24
0.114993    17
0.112597    30
0.118296    20
0.110509    21
0.171295    10
0.102125    17
0.0950389    26
0.111871    17
0.107228    18
0.0958021    21
0.193216    22
0.088321    16
0.0834939    13
0.0961149    27
0.096925    20
0.0962551    29
0.111488    19
0.12675    27
0.116862    33
0.126144    23
0.0820282    17
0.081881    21
0.099818    20
0.098109    22
0.109371    31
0.0904751    17
0.124424    10
0.111744    16
0.104974    18
0.0828161    26
0.0824108    17
0.162335    12
0.115038    19
0.0992389    27
0.113374    19
0.0844789    21
0.0819461    29
0.08323    29
0.123396    26
0.100595    32
0.101632    19
0.105555    21
0.082737    26
0.0918989    24
0.0841069    14
0.113352    26
0.10725    23
0.0970871    34
0.113005    16
0.0827641    22
0.103309    22
0.106308    21
0.112581    14
0.103369    28
0.100866    19
0.09776    24
0.0834641    16
0.0956869    16
0.09814    21
0.105528    30
0.101436    10
0.11658    18
0.101008    21
0.107296    29
0.0936968    27
0.117766    25
0.0993822    10
0.113368    19
0.100029    9
0.109374    21
0.083308    19
0.119645    22
0.0972421    10
0.10283    44
0.102348    19
0.109639    30
0.096534    14
0.0820181    35
0.111361    22
0.107366    10
0.130025    15
0.081409    26
0.0860639    24
0.0964401    29
0.0825801    28
0.106847    24
0.112559    14
0.113221    14
0.100272    19
0.0913451    15
0.108602    23
0.123569    23
