Graph Name: CollegeMsg.txt
Motif Name: M-4-5.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.156094    2408
0.0960231    12
0.0817769    5
0.0823441    3
0.12313    8
0.097079    9
0.10546    9
0.113873    12
0.0822151    8
0.0827081    1
0.089273    7
0.081749    7
0.062577    7
0.0954518    7
0.106102    7
0.098644    10
0.114172    10
0.111829    9
0.110723    8
0.081476    7
0.107264    7
0.112823    8
0.105227    5
0.0989099    11
0.108699    8
0.0884089    5
0.082252    7
0.0957661    4
0.097846    10
0.10438    3
0.082196    9
0.0815911    9
0.142365    4
0.0988469    6
0.101921    4
0.0922089    9
0.083792    9
0.0975831    7
0.104015    8
0.12578    7
0.098017    5
0.0966439    9
0.109497    8
0.0852051    4
0.0956631    2
0.115408    6
0.086802    5
0.0861871    5
0.093466    7
0.103066    2
0.084069    12
0.110839    4
0.091819    9
0.103138    15
0.0841591    11
0.0813141    13
0.0894549    8
0.095957    12
0.0825651    9
0.101895    8
0.075912    12
0.114356    3
0.0817261    6
0.0824521    7
0.111398    10
0.09354    6
0.107069    9
0.081754    8
0.0622649    9
0.084434    9
0.0826879    13
0.0874088    4
0.082305    8
0.0881071    4
0.10197    2
0.0944369    7
0.112136    6
0.108098    5
0.105204    3
0.0911839    2
0.0813501    6
0.116232    3
0.115864    6
0.0942619    5
0.104208    5
0.081423    2
0.102724    6
0.107129    8
0.12985    10
0.086426    7
0.115982    5
0.12499    8
0.081851    2
0.086828    4
0.0957642    5
0.0821328    8
0.0788901    7
0.110938    5
0.100707    4
0.080543    4
0.09307    5
0.0947812    7
0.103103    4
0.0746329    4
0.0971859    5
0.103593    11
0.109264    12
0.086771    9
0.0988588    7
0.102146    5
0.080313    16
0.0945098    10
0.082628    6
0.110539    6
0.082216    9
0.0819569    6
0.114757    9
0.143959    6
0.0907519    8
0.083883    7
0.082705    10
0.0948179    4
0.0816469    11
0.0815659    1
0.103588    4
0.0948501    8
0.118283    6
0.081347    1
0.0824561    9
0.110946    2
0.117574    7
0.102896    8
0.0836871    8
0.0891511    10
0.0835831    6
0.083591    8
0.081243    14
0.0838699    3
0.0976751    12
0.0899901    10
0.110465    6
0.104604    7
0.0817831    5
0.082659    5
0.105842    5
0.11644    12
0.156021    9
0.105274    10
0.112635    5
0.120065    10
0.0842061    5
0.0870969    8
0.082087    8
0.097064    7
0.0836399    9
0.0899079    3
0.0867078    8
0.0830679    11
0.08303    9
0.0956609    6
0.117166    8
0.104316    4
0.109288    7
0.108607    7
0.113643    9
0.104127    6
0.114226    4
0.104793    6
0.0821331    8
0.0828891    8
0.0972569    5
0.0827031    6
0.0831978    4
0.123136    4
0.0936441    7
0.105569    6
0.114365    4
0.126379    4
0.103505    10
0.0859668    3
0.0964749    8
0.081779    11
0.107088    11
0.0816128    5
0.090229    4
0.0995052    13
0.102746    7
0.100018    5
0.097538    10
0.104887    2
0.106454    8
0.0821009    4
0.108073    9
0.0898521    5
0.109877    3
0.0736969    5
0.0820529    6
0.115212    7
0.103919    5
0.092849    8
0.0850511    18
0.08323    11
0.0644872    7
0.0817659    11
0.0821722    4
0.0827091    9
0.082217    9
0.083833    6
0.0780721    6
0.0827711    5
0.107299    6
0.081378    6
