Graph Name: CollegeMsg.txt
Motif Name: M-2-4.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.0957279    1538
0.079937    8
0.0798762    1
0.092355    5
0.0795062    6
0.059442    2
0.0958891    6
0.0872679    4
0.0926349    7
0.0891459    7
0.079916    5
0.102145    4
0.122456    6
0.0794501    1
0.0977921    3
0.089397    6
0.100739    7
0.079824    4
0.0870152    4
0.09219    6
0.110042    7
0.084651    5
0.0790131    7
0.080209    11
0.10575    5
0.097353    8
0.109151    7
0.0622292    10
0.0803289    6
0.0958118    6
0.101574    4
0.0974381    6
0.0788219    4
0.0793719    3
0.113952    4
0.0784311    2
0.0807559    5
0.0785408    4
0.078897    5
0.0881059    3
0.079715    3
0.0804729    1
0.080096    5
0.0807171    4
0.083837    6
0.0777569    4
0.0859311    7
0.0789402    3
0.092267    10
0.098799    10
0.113853    4
0.079052    5
0.0812681    2
0.0815208    4
0.0790398    3
0.080883    7
0.0806191    6
0.079545    10
0.0789881    4
0.0954809    3
0.107781    1
0.0883441    10
0.0789499    7
0.0794649    9
0.0883911    3
0.0990331    6
0.105601    4
0.0715239    6
0.0797539    4
0.0932961    3
0.0788169    4
0.0797181    8
0.099503    8
0.0974882    7
0.0986221    7
0.0792589    5
0.080462    6
0.102781    12
0.102571    4
0.100368    12
0.095186    2
0.0785758    3
0.0858381    3
0.107883    11
0.106089    0
0.079726    7
0.0782549    4
0.0943961    4
0.0753682    11
0.0958328    2
0.078136    6
0.0776291    3
0.0922079    4
0.100099    6
0.0963199    2
0.069212    4
0.08021    5
0.0880539    3
0.0831039    7
0.0782299    2
0.0987129    4
0.103395    3
0.0972879    20
0.0888169    10
0.122758    6
0.107455    11
0.101476    9
0.0832081    3
0.0827341    7
0.109988    6
0.105843    11
0.106317    6
0.0807328    2
0.121176    11
0.103524    11
0.102797    2
0.109331    6
0.083694    5
0.0796471    9
0.085017    7
0.101317    5
0.100649    4
0.0802162    8
0.0791318    2
0.102992    7
0.0988569    4
0.0962849    6
0.095237    8
0.079128    4
0.093097    2
0.0863268    4
0.0987821    0
0.082263    6
0.0791161    3
0.084981    5
0.071429    12
0.105928    6
0.078625    5
0.0938821    3
0.107595    5
0.096736    13
0.0786619    7
0.080091    5
0.104265    8
0.089361    6
0.0785902    9
0.103559    4
0.09991    2
0.0875142    6
0.07935    8
0.0989451    2
0.0790789    2
0.0823321    5
0.0810921    6
0.079248    6
0.087976    5
0.078757    14
0.0795672    3
0.110417    4
0.0945342    8
0.0943589    6
0.0795012    2
0.0974362    4
0.0997651    2
0.105388    2
0.101313    7
0.087476    7
0.101218    4
0.100338    2
0.0817759    10
0.100028    4
0.108264    3
0.0894141    4
0.0791039    6
0.0911    4
0.097549    5
0.102416    5
0.0902369    8
0.079015    1
0.089067    4
0.10271    4
0.093308    5
0.080236    9
0.091434    8
0.105794    7
0.111208    6
0.0833268    4
0.095228    7
0.0795569    7
0.0826519    5
0.0794442    5
0.0810471    11
0.0836871    7
0.079416    7
0.082464    12
0.0783811    5
0.0799549    6
0.0786481    5
0.09077    20
0.0934401    8
0.108014    5
0.078378    3
0.0846069    7
0.0790269    2
0.0787191    4
0.084919    7
0.0822179    4
0.0797448    13
0.0790861    9
0.0994709    3
0.10407    6
0.0838108    6
0.079253    6
0.082938    6
0.0789301    4
0.0786381    3
0.13183    5
0.078485    3
0.08202    5
0.079205    3
0.0877938    4
0.080497    10
0.0794411    10
0.0984979    7
0.101917    8
0.0917101    10
0.0819149    7
0.0784171    9
0.0811589    5
0.0871761    4
0.0790911    1
0.102111    3
0.105266    3
0.0869348    3
0.0901129    3
0.103266    3
0.111813    5
0.078793    10
0.078584    4
0.0890839    4
0.079443    4
0.100608    4
0.103591    7
0.10813    3
0.0824292    4
0.098594    4
0.077728    5
0.076628    7
0.0790431    9
0.082901    4
0.0785191    2
0.0865741    3
0.107585    4
0.084357    13
0.084579    10
0.0986538    3
0.0970359    8
0.0800521    7
0.077939    4
0.081141    10
0.0810161    6
0.072258    4
0.109382    7
0.099257    6
0.0796399    8
0.0814631    5
0.0879419    3
0.099653    4
0.103351    5
0.103502    1
0.108777    5
0.0926981    4
0.104191    2
0.101828    5
0.119106    1
0.110578    1
0.11121    8
0.0975959    6
0.08096    7
0.079638    5
0.0979538    14
0.107071    6
0.102073    0
0.10916    6
0.0937269    6
0.101204    6
0.0794971    4
0.103868    4
0.112566    4
0.10116    4
0.0791068    3
0.080627    5
0.08864    10
0.0808909    2
0.079566    6
0.0989399    3
0.0764871    7
0.101179    4
0.098208    4
0.0912559    6
0.0968308    7
0.0895391    4
0.0986481    8
0.063035    4
0.0793002    12
0.086905    4
0.101341    11
0.0921211    4
0.0790272    6
0.0830789    4
0.093272    3
0.106197    7
0.0952768    1
0.110593    10
0.0869122    8
0.109369    2
0.078558    6
0.090517    6
0.081727    7
0.105908    4
0.100202    4
0.104355    6
0.0982671    6
0.080225    7
0.097734    5
0.102621    5
0.107693    7
0.079293    6
0.0817189    5
0.0954599    7
0.085166    4
0.098547    5
0.0882421    7
0.078933    7
0.097461    3
0.0992858    2
0.114208    4
0.105895    5
0.0908391    7
0.106052    6
0.0831401    13
0.098238    3
0.096118    9
0.105171    4
0.091574    7
0.0783789    7
0.0947301    8
0.0944672    6
0.10536    6
0.0798199    2
0.083226    1
0.0909231    10
0.100752    8
0.0955169    12
0.079098    5
0.0813911    8
0.092175    4
0.088388    5
0.093888    11
0.0894461    4
0.0788591    7
0.0946848    2
0.104342    11
0.0880351    12
0.079644    5
0.082685    4
0.0955319    7
0.0955069    6
0.0832782    5
0.0894861    5
0.0795839    10
0.108771    4
0.0896602    2
0.10022    6
0.0896301    8
0.0667439    7
0.098335    3
0.0791321    5
0.0812259    4
0.0784659    14
0.080235    7
0.0908399    2
0.0757    4
0.0832641    11
0.092345    4
0.0829849    3
0.0782449    5
0.110058    10
0.100052    6
0.09917    3
0.0805168    10
0.103933    6
0.101513    5
0.079258    5
0.0907359    4
0.105808    2
0.136618    9
0.103005    4
0.0995479    2
0.103357    2
0.0910971    11
0.100122    11
0.0813038    5
0.0761962    7
0.097091    10
0.096364    6
0.106262    8
0.079103    4
0.098382    6
0.0924509    5
0.086777    0
0.096211    3
0.110591    0
0.0907681    5
0.079258    5
0.101068    8
0.118226    5
0.093179    6
0.0815351    10
0.0793619    5
0.0993929    8
0.0974951    3
0.105632    3
0.0938418    3
0.103951    7
0.10205    6
0.079762    4
0.079036    4
0.0863192    5
0.0796511    3
0.084218    5
0.110889    7
0.0785701    5
0.0968301    13
0.0904799    5
0.0986168    3
0.0973098    4
0.0931511    3
0.0692868    5
0.0788991    3
0.0946372    14
0.0897601    3
0.117792    11
0.11133    3
0.107657    7
0.101599    4
0.108909    5
0.102867    5
0.104668    6
0.117349    10
0.0948548    7
0.088573    4
0.119575    7
0.092046    9
0.0929749    2
0.0906479    2
0.123779    5
0.104021    7
0.105085    10
0.0622082    4
0.103968    5
0.042522    6
0.0792501    6
0.0965321    4
0.0578489    8
0.0818241    6
0.0911901    5
0.0947251    5
0.095968    3
0.117057    3
0.121053    3
0.118753    7
0.0985179    13
0.0918949    2
0.103513    4
0.10143    7
0.089323    6
0.104573    1
0.108333    2
0.077858    12
0.0901132    8
0.111103    3
0.110604    6
0.112747    5
0.109182    7
0.111234    3
0.096962    8
0.110255    10
0.126963    4
0.122624    4
0.104085    7
0.097579    10
0.101596    9
0.103218    4
0.113951    7
0.101718    7
0.104481    5
0.0881059    5
0.0934951    7
0.0817099    2
0.0920789    3
