Graph Name: CollegeMsg.txt
Motif Name: M-5-2.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.090281    138212
0.082515    18
0.0860741    35
0.0829961    20
0.082217    13
0.0884941    32
0.0825    21
0.0823238    17
0.104479    21
0.114331    25
0.118352    15
0.0829229    25
0.0997779    25
0.083118    24
0.0975261    19
0.104986    26
0.156684    27
0.0940599    26
0.081495    18
0.131558    23
0.102576    34
0.0982611    28
0.085077    12
0.118719    14
0.130639    19
0.08165    13
0.082248    29
0.0951021    20
0.0853391    21
0.0817642    21
0.161681    27
0.107601    14
0.104573    22
0.104389    19
0.0974159    24
0.092391    15
0.103397    18
0.116568    24
0.1126    22
0.11386    19
0.106108    17
0.100256    17
0.096983    20
0.122539    25
0.117839    20
0.102432    13
0.102315    20
0.107848    21
0.103951    31
0.161308    12
0.105867    19
0.0843329    30
0.0822999    16
0.085572    17
0.0827041    13
0.094213    22
0.0970571    14
0.103296    23
0.10779    13
0.100623    21
0.08237    22
0.083133    16
0.084635    13
0.0817552    18
0.129851    28
0.0981638    15
0.0857031    13
0.100502    14
0.107897    17
0.0918641    13
0.0816019    18
0.0894399    24
0.0836649    35
0.094281    30
0.109592    21
0.096225    30
0.083055    13
0.155335    16
0.083982    16
0.0903718    23
0.115258    22
0.116586    25
0.108702    25
0.0826781    17
0.114761    32
0.106236    19
0.0816591    23
0.123005    27
0.115134    19
0.112292    15
0.0824809    47
0.133525    16
0.097903    16
0.0824749    24
0.110495    10
0.0943329    21
0.110234    13
0.0829492    18
0.104779    19
0.104091    25
0.109273    31
0.0965641    35
0.094475    16
0.0939019    17
0.122243    20
0.117092    19
0.0986211    25
0.0836349    26
0.113055    29
0.116562    27
0.124316    26
0.100211    14
0.0826321    18
0.083595    22
0.0845571    25
0.0826249    18
0.0887251    17
0.10118    19
0.104689    29
0.0983758    26
0.083334    16
0.0831461    32
0.0988569    31
0.10466    23
0.115179    19
0.0905321    19
0.0835021    31
0.0817451    22
0.0846119    20
0.0827491    24
0.0834811    22
0.0981178    23
0.110812    20
0.099298    30
0.0826008    15
0.081701    18
0.0832331    14
0.106559    23
0.184648    16
0.108931    21
0.110353    19
0.084034    25
0.0840549    24
0.100534    23
0.104377    14
0.127275    17
0.084069    18
0.090564    17
0.109226    22
0.101262    21
0.102289    17
0.192029    23
0.0822549    25
0.08372    14
0.091126    25
0.083323    14
0.097939    14
0.116626    26
0.1276    21
0.0880351    15
0.084769    20
0.114032    15
0.113506    23
0.112385    18
0.0873189    24
0.186509    15
0.117558    25
0.08781    26
0.0964589    19
0.0846679    21
0.095366    19
0.084053    24
0.120544    20
0.102512    17
0.09361    16
0.116899    22
0.082114    13
0.100406    15
0.110445    24
0.108409    16
0.101489    19
0.082469    15
0.083133    21
0.107896    18
0.094902    15
0.127697    27
0.100818    21
0.0809491    18
0.0814478    17
0.106393    21
0.112118    12
0.109865    19
0.0837381    14
0.082418    17
0.10078    20
0.106125    17
0.100389    23
0.082406    20
0.119605    25
0.0821521    18
0.0842109    30
0.0904832    18
0.0845459    20
0.108441    31
0.105871    20
0.127518    24
0.082077    24
0.083849    28
0.11585    21
0.0994308    20
0.114081    24
0.0824668    16
0.174466    24
0.082721    19
0.0818329    23
0.108041    16
0.111192    19
0.099575    22
0.0833468    18
0.128035    22
0.111458    15
0.111865    20
0.102864    26
0.081965    26
0.091583    18
0.166406    22
0.088635    15
0.0817089    16
0.125053    18
0.127222    25
0.102377    18
0.0825942    18
0.124515    16
0.115108    19
0.0887339    22
0.102813    22
0.092804    21
0.0858512    23
0.0827341    20
0.118324    21
0.106674    27
0.103137    32
0.0948789    15
0.0835578    19
0.112694    24
0.102372    19
0.104186    18
0.0825591    14
0.0869379    16
0.0817161    19
0.0831931    21
0.0870202    21
0.0989659    21
0.111376    19
0.101938    32
0.0933578    20
0.106448    23
0.105882    20
0.0888469    16
0.201342    25
0.107854    21
0.0991662    24
0.102882    21
0.112432    24
0.101516    25
0.104477    23
0.118315    22
0.0867431    17
0.105358    20
0.082814    17
0.0828319    19
0.0985539    12
0.0839159    18
0.105067    18
0.123211    28
0.116412    18
0.0827329    31
0.099932    18
0.10319    21
0.108079    28
0.099154    21
0.082377    30
0.093256    24
0.115759    30
0.106689    22
0.0942352    24
0.0966539    15
0.123572    19
0.104774    23
0.097527    16
0.110001    32
0.0923049    26
0.104522    23
0.125703    21
0.0979581    19
0.0848489    30
0.0819461    22
0.096159    31
0.106059    19
0.101611    27
0.112054    26
0.085819    18
0.0929699    27
0.102736    24
0.107223    29
0.0854242    21
0.0820198    17
0.09899    18
0.0900719    20
0.108592    14
0.101141    23
0.0827041    11
0.0820479    27
0.15739    28
0.0889421    27
0.0859871    26
0.112765    23
0.0991828    20
0.0864081    37
0.10313    15
0.117433    21
0.108794    22
0.084094    21
0.0892451    22
0.114462    28
0.100333    18
0.126005    19
0.102567    31
0.100189    24
0.103494    19
0.109688    27
0.104881    27
0.094651    14
0.10364    19
0.110732    19
0.0955851    19
0.0828619    26
0.0829792    27
0.097038    20
0.099354    15
0.106219    17
0.111855    19
0.119037    14
0.118034    19
0.0907168    16
0.098912    16
0.114454    25
0.0978551    18
0.087137    22
0.0826981    25
0.0985382    23
0.110582    13
0.096705    18
0.124036    18
0.108125    17
0.102813    17
0.112514    18
0.109177    24
0.19271    22
0.0834579    16
0.0818021    25
0.114674    22
0.107324    17
0.105003    23
0.0966139    31
0.114994    24
0.107393    30
0.110052    23
0.102538    20
0.100434    18
0.0824981    16
0.122133    15
0.107993    11
0.0823851    26
0.0893512    14
0.108408    25
0.106222    17
0.084234    12
0.160821    15
0.12033    34
0.090502    17
0.105657    17
0.0829439    22
0.0976009    30
0.08499    32
0.0835531    35
0.0947511    18
0.142727    19
0.139499    22
0.0884039    15
0.0827799    29
0.183932    19
0.0860589    21
0.082123    21
0.105623    20
0.082684    21
0.0824969    33
0.091814    21
0.104569    17
0.10354    27
0.114321    15
0.102502    20
0.11136    36
0.12343    13
0.111106    19
0.102553    22
0.114116    30
0.0841868    25
0.103985    15
0.104184    27
0.116971    24
0.112644    25
0.0835469    11
0.0994279    8
0.101438    34
0.122537    12
0.109259    18
0.122056    23
0.114962    12
0.092145    18
0.0825729    23
0.084245    26
0.117705    23
0.109581    15
0.113917    24
0.100195    20
0.116472    19
0.12101    12
0.119166    15
0.109764    29
0.120386    14
0.0828149    14
0.0967891    22
0.0835302    17
0.081996    23
0.103197    20
0.0827489    24
0.098413    9
0.103642    25
0.0851109    18
0.094363    13
0.103426    11
0.105727    14
0.126738    22
0.1097    17
0.117139    21
0.0989361    30
0.104185    33
0.108531    25
0.191392    15
0.10904    19
0.0957441    16
0.082361    23
0.107772    24
0.113483    22
0.105778    21
0.100836    22
0.0978351    20
0.109654    16
0.0882771    33
0.0839591    22
0.0847681    19
0.0986569    17
0.0937121    19
0.103545    22
0.0911601    17
0.102284    31
0.124751    13
0.0820451    24
0.0895939    27
0.0933151    12
0.106174    20
0.107174    30
0.106324    33
0.10198    21
0.1277    16
0.110981    11
0.118616    16
0.115326    20
0.132323    28
0.083004    23
0.0943749    17
0.0997269    24
0.0836501    16
0.0977769    30
0.110949    29
0.108098    18
0.104607    16
0.122347    23
0.0928969    14
0.082921    17
0.082217    27
0.0821371    27
0.100119    23
0.083674    29
0.0890129    16
0.106022    27
0.101452    23
0.100943    16
0.102832    17
0.0933661    28
