Graph Name: CollegeMsg.txt
Motif Name: M-1-4.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.083977    1879
0.0901201    8
0.08023    12
0.100485    8
0.109692    6
0.121685    3
0.085685    7
0.091697    4
0.168314    9
0.120458    4
0.0873711    7
0.080596    1
0.0831239    5
0.08746    10
0.0806289    12
0.0972259    9
0.111213    4
0.0848641    5
0.0981929    5
0.109975    3
0.106008    2
0.0787332    9
0.158951    3
0.10054    0
0.0931239    11
0.0791881    6
0.0864289    9
0.100221    3
0.0909328    11
0.108227    12
0.086169    13
0.079247    5
0.079139    9
0.0850842    10
0.0799758    6
0.0803459    8
0.107372    5
0.096087    7
0.090874    7
0.079993    7
0.082334    8
0.0886209    8
0.0951951    6
0.116116    6
0.0875819    7
0.0786679    7
0.098129    3
0.104703    3
0.0997629    5
0.0784271    5
0.0846179    11
0.111905    4
0.0949891    1
0.108014    2
0.0800951    5
0.087235    7
0.080528    3
0.100905    6
0.0950489    5
0.079788    4
0.0809429    7
0.0789549    6
0.098377    14
0.0849261    4
0.154105    8
0.114558    8
0.080303    4
0.0800719    5
0.084547    8
0.0788641    8
0.0797679    4
0.0813389    7
0.079355    8
0.103467    10
0.102634    2
0.105789    6
0.0787611    7
0.0797031    9
0.104857    1
0.0988281    8
0.085113    10
0.084172    6
0.081146    5
0.105083    3
0.118831    4
0.110486    4
0.0894558    12
0.0833209    5
0.098309    12
0.113425    5
0.108723    9
0.081387    9
0.0987449    10
0.0988052    4
0.110055    6
0.098814    11
0.0788941    11
0.0841172    4
0.080333    14
0.0797868    10
0.0807321    10
0.100979    8
0.0786071    6
0.0859048    4
0.095243    9
0.102683    3
0.102337    9
0.0840311    1
0.0809369    11
0.111894    3
0.0998399    6
0.105801    17
0.094058    1
0.091269    7
0.0790281    9
0.084954    7
0.0792668    5
0.0802572    15
0.0866032    13
0.0905511    8
0.106961    9
0.088115    2
0.079823    3
0.105059    5
0.107914    9
0.106811    3
0.0788589    5
0.0814929    8
0.081743    3
0.081388    9
0.0981982    5
0.102715    10
0.100214    5
0.0790579    4
0.101914    6
0.10795    12
0.098917    10
0.0988791    8
0.0922911    9
0.0819161    8
0.0978608    3
0.0787599    8
0.0941949    3
0.105628    4
0.0852959    7
0.0787868    10
0.0919018    10
0.0975149    17
0.102759    3
0.0999291    9
0.0881591    12
0.0785439    9
0.0915549    8
0.0976322    7
0.166241    4
0.095933    8
0.0784891    5
0.102516    6
0.0933619    7
0.105277    5
0.0786791    0
0.080231    8
0.0810249    9
0.0873401    2
0.102668    7
0.0911369    7
0.07936    8
0.080514    9
0.08641    3
0.0785589    14
0.0877552    9
0.0802801    9
0.078455    3
0.0820642    3
0.079495    8
0.078522    8
0.154442    11
0.079808    9
0.084728    11
0.0859859    2
0.0790339    8
0.0794501    7
0.0844212    5
0.0786831    13
0.125227    5
0.095365    3
0.115078    5
0.09196    5
0.10241    4
0.097784    7
0.11357    6
0.0876732    10
0.0949631    4
0.107469    6
0.094105    0
0.0805771    8
0.108711    3
0.0966902    10
0.0932069    4
0.0846651    1
0.0845909    11
0.0841949    9
0.102452    5
0.129598    10
0.099458    9
0.078943    9
0.095968    10
0.0995209    1
0.084825    6
0.0791209    7
0.0947161    4
0.103178    8
0.0889771    6
0.0944009    3
0.09688    9
0.0870101    6
0.0983579    3
0.106958    4
0.087913    6
0.0777688    4
0.078485    2
0.087539    9
0.0799561    6
0.088218    9
0.118689    10
0.0958571    6
0.0785902    8
0.0959291    2
0.0918269    5
0.084516    6
0.088196    7
0.119724    5
0.078675    5
0.080225    5
0.0823119    8
0.0853651    4
0.0794029    5
0.079344    8
0.0969501    5
0.111246    5
0.109381    6
0.0799119    8
0.0928559    5
0.118983    5
0.109179    6
0.158022    4
0.109719    8
