Graph Name: CollegeMsg.txt
Motif Name: M-3-6.txt
Delta Value: 3200

TIME        NUMBER OF MOTIFS 
0.091074    2288
0.0858581    9
0.102861    6
0.128531    11
0.0857499    7
0.0805991    7
0.085268    5
0.0793159    3
0.097126    9
0.111711    3
0.0853572    4
0.078476    5
0.0789919    2
0.0849569    4
0.0893159    11
0.105192    12
0.0794899    8
0.0926559    4
0.104427    16
0.084955    10
0.0788541    10
0.0789549    8
0.0912139    9
0.114485    8
0.0983489    10
0.0834131    12
0.0797071    9
0.099493    7
0.090939    8
0.110805    12
0.0812631    10
0.0781379    4
0.0963252    6
0.0813739    8
0.0783691    9
0.08021    12
0.0956941    8
0.11071    7
0.100002    8
0.0825059    7
0.080961    6
0.101419    4
0.079215    7
0.093118    6
0.134977    6
0.0901139    9
0.0796299    8
0.0789781    11
0.0849299    4
0.0793998    6
0.0805271    11
0.165684    6
0.083919    5
0.0794952    7
0.0920351    7
0.0812361    3
0.0931439    5
0.093724    4
0.153024    12
0.08797    5
0.0788958    8
0.0878429    5
0.079504    11
0.0789111    2
0.0806031    8
0.0786591    12
0.12947    8
0.106413    5
0.0792439    9
0.080399    5
0.0795259    6
0.0787499    7
0.10736    10
0.0954552    2
0.09443    4
0.079988    6
0.0783291    14
0.091083    8
0.0812051    4
0.083065    9
0.078855    8
0.111389    3
0.0797341    5
0.0963469    8
0.112681    9
0.111801    12
0.0783901    3
0.0803559    4
0.136916    8
0.092557    12
0.10611    8
0.0784211    5
0.0785542    7
0.084713    2
0.0870569    12
0.110822    10
0.0852232    7
0.091619    4
0.0789199    5
0.0788691    7
0.0787549    15
0.107462    4
0.0872579    4
0.106277    5
0.078809    12
0.0783498    2
0.0805581    10
0.0796821    9
0.080075    6
0.0801809    5
0.142002    4
0.078352    7
0.0991161    8
0.0853231    3
0.112478    7
0.0796669    5
0.0932338    7
0.118304    9
0.086587    4
0.0777559    9
0.0947411    8
0.0987461    7
0.0786569    7
0.0789371    1
0.156322    8
0.096216    3
0.080951    7
0.0792279    7
0.091795    3
0.0932999    8
0.0932589    9
0.171988    11
0.086014    14
0.0789819    8
0.0889249    8
0.078485    9
0.0786941    8
0.08461    9
0.0790191    11
0.114636    7
0.095829    3
0.095916    8
0.111195    9
0.111773    6
0.0834842    6
0.090328    8
0.100126    12
0.081064    9
0.0874729    8
0.103257    19
0.0933909    11
0.0808759    10
0.110259    11
0.0912061    5
0.094666    3
0.094245    9
0.078079    2
0.0784669    5
0.0821779    7
0.0904899    7
0.108445    11
0.092819    4
0.0829182    6
0.0987999    10
0.0803449    10
0.0920558    13
0.185897    10
0.0798342    3
0.0786538    3
0.0853188    9
0.078604    11
0.0888801    11
0.094759    3
0.110785    10
0.091814    5
0.101756    5
0.11179    5
0.0837131    5
0.101922    9
0.0977769    8
0.12986    4
0.1119    8
0.090528    7
0.0787861    6
0.078778    3
0.0999229    7
0.093889    5
0.125324    6
0.0832078    5
0.078136    4
0.093837    8
0.078917    11
0.0790422    6
0.080282    6
0.0787592    6
0.109913    3
0.0924959    10
0.089653    6
0.0853    5
0.105704    7
0.100259    8
0.0786638    6
0.0802639    9
0.078516    11
0.0925539    9
0.0835969    3
0.0893869    6
0.0866771    6
0.0801961    5
0.116604    12
0.0951309    4
0.0875092    3
0.0810411    7
0.078665    7
0.0787601    5
0.0785429    12
0.0915999    7
0.080755    8
0.114693    8
0.078769    6
0.0784149    9
0.0882211    10
0.0900722    6
0.111463    4
0.0785079    9
0.0933712    8
0.0965698    4
0.0872929    9
0.092448    7
0.088855    8
0.193847    7
0.0793841    6
0.0935941    8
0.0910311    7
0.078743    10
0.09956    4
0.0927241    6
0.0973668    9
0.08552    9
0.0789671    9
0.078675    7
0.077903    8
0.0994389    5
0.08198    6
0.106827    11
0.106404    7
0.104012    14
0.110723    6
0.0845089    5
0.0787439    7
0.081284    5
0.079555    10
0.118801    6
0.090132    5
0.104779    2
0.0787549    6
0.0828099    6
0.0856528    8
0.0801749    7
